date,value,item,name
20171030,3662.18,level,STOXX50E
20171031,3673.95,level,STOXX50E
20171101,3697.4,level,STOXX50E
20171102,3688.8,level,STOXX50E
20171103,3689.96,level,STOXX50E
20171106,3682.36,level,STOXX50E
20171107,3658.77,level,STOXX50E
20171108,3655.04,level,STOXX50E
20171109,3612.5,level,STOXX50E
20171110,3593.76,level,STOXX50E
20171113,3574.52,level,STOXX50E
20171114,3556.38,level,STOXX50E
20171115,3545.72,level,STOXX50E
20171116,3564.8,level,STOXX50E
20171117,3547.46,level,STOXX50E
20171120,3561.41,level,STOXX50E
20171121,3579.32,level,STOXX50E
20171122,3562.65,level,STOXX50E
20171123,3572.07,level,STOXX50E
20171124,3581.23,level,STOXX50E
20171127,3564.02,level,STOXX50E
20171128,3583.49,level,STOXX50E
20171129,3589.91,level,STOXX50E
20171130,3569.93,level,STOXX50E
20171201,3527.55,level,STOXX50E
20171204,3576.22,level,STOXX50E
20171205,3570.57,level,STOXX50E
20171206,3561.57,level,STOXX50E
20171207,3573.13,level,STOXX50E
20171208,3591.45,level,STOXX50E
20171211,3582.21,level,STOXX50E
20171212,3600.35,level,STOXX50E
20171213,3581.75,level,STOXX50E
20171214,3556.22,level,STOXX50E
20171215,3560.53,level,STOXX50E
20171218,3609.42,level,STOXX50E
20171219,3582.22,level,STOXX50E
20171220,3552.65,level,STOXX50E
20171221,3570.78,level,STOXX50E
20171222,3553.39,level,STOXX50E
20171227,3550.17,level,STOXX50E
20171228,3524.31,level,STOXX50E
20171229,3503.96,level,STOXX50E
20180102,3490.19,level,STOXX50E
20180103,3509.88,level,STOXX50E
20180104,3568.88,level,STOXX50E
20180105,3607.63,level,STOXX50E
20180108,3616.45,level,STOXX50E
20180109,3622.87,level,STOXX50E
20180110,3609.83,level,STOXX50E
20180111,3595.24,level,STOXX50E
20180112,3612.61,level,STOXX50E
20180115,3611.81,level,STOXX50E
20180116,3622.01,level,STOXX50E
20180117,3612.78,level,STOXX50E
20180118,3620.91,level,STOXX50E
20180119,3649.07,level,STOXX50E
20180122,3665.28,level,STOXX50E
