date,value,name
20171108,132.33,SX7E
20171109,132.05,SX7E
20171110,132.35,SX7E
20171113,131.84,SX7E
20171114,130.75,SX7E
20171115,131.55,SX7E
20171116,131.78,SX7E
20171117,130.87,SX7E
20171120,130.59,SX7E
20171121,129.98,SX7E
20171122,130.3,SX7E
20171123,130.58,SX7E
20171124,131.88,SX7E
20171127,130.85,SX7E
20171128,131.34,SX7E
20171129,133.16,SX7E
20171130,132.19,SX7E
20171201,130.45,SX7E
20171204,132.43,SX7E
20171205,131.78,SX7E
20171206,130.25,SX7E
20171207,132.0,SX7E
20171208,135.07,SX7E
20171211,134.64,SX7E
20171212,135.07,SX7E
20171213,133.89,SX7E
20171214,132.67,SX7E
20171215,132.06,SX7E
20171218,133.47,SX7E
20171219,133.58,SX7E
20171220,132.77,SX7E
20171221,133.98,SX7E
20171222,132.56,SX7E
20171227,131.82,SX7E
20171228,131.27,SX7E
20171229,130.48,SX7E
20180102,130.59,SX7E
20180103,131.01,SX7E
20180104,134.32,SX7E
20180105,134.42,SX7E
20180108,134.75,SX7E
20180109,135.42,SX7E
20180110,138.86,SX7E
20180111,139.77,SX7E
20180112,140.32,SX7E
20180115,140.41,SX7E
20180116,140.0,SX7E
20180117,139.23,SX7E
20180118,139.64,SX7E
20180119,140.13,SX7E
20180122,142.29,SX7E
20180123,141.92,SX7E
20180124,141.19,SX7E
20180125,142.88,SX7E
20180126,143.04,SX7E
20180129,143.05,SX7E
20180130,140.94,SX7E
20180131,140.84,SX7E
20180201,140.29,SX7E
20180202,138.4,SX7E
20180205,136.84,SX7E
20180206,133.41,SX7E
20180207,136.13,SX7E
20180208,134.59,SX7E
20180209,132.08,SX7E
20180212,133.41,SX7E
20180213,131.67,SX7E
20180214,132.56,SX7E
20180215,133.03,SX7E
20180216,134.17,SX7E
20180219,133.82,SX7E
20180220,134.47,SX7E
20180221,134.63,SX7E
20180222,134.41,SX7E
20180223,134.03,SX7E
20180226,134.11,SX7E
20180227,135.12,SX7E
20180228,134.61,SX7E
20180301,133.36,SX7E
20180302,130.19,SX7E
20180305,129.46,SX7E
20180306,130.22,SX7E
20180307,130.65,SX7E
20180308,131.2,SX7E
20180309,130.83,SX7E
20180312,131.05,SX7E
20180313,130.27,SX7E
20180314,128.48,SX7E
20180315,128.78,SX7E
20180316,130.47,SX7E
20180319,129.1,SX7E
20180320,129.59,SX7E
20180321,128.37,SX7E
20180322,125.46,SX7E
20180323,124.2,SX7E
20180326,123.72,SX7E
20180327,124.56,SX7E
20180328,125.15,SX7E
20180329,125.69,SX7E
20180403,124.66,SX7E
20180404,124.17,SX7E
20180405,127.68,SX7E
20180406,126.22,SX7E
20180409,126.73,SX7E
20180410,127.09,SX7E
20180411,126.24,SX7E
20180412,127.51,SX7E
20180413,127.8,SX7E
20180416,128.0,SX7E
20180417,128.76,SX7E
20180418,129.38,SX7E
20180419,130.09,SX7E
20180420,130.58,SX7E
20180423,131.97,SX7E
20180424,131.58,SX7E
20180425,130.05,SX7E
20180426,129.88,SX7E
20180427,129.64,SX7E
20180430,130.08,SX7E
20180501,130.08,SX7E
20180502,130.74,SX7E
20180503,128.86,SX7E
20180504,128.91,SX7E
20180507,129.05,SX7E
20180508,128.36,SX7E
20180509,129.07,SX7E
20180510,129.53,SX7E
20180511,129.93,SX7E
20180514,129.6,SX7E
20180515,129.48,SX7E
20180516,126.54,SX7E
20180517,126.59,SX7E
20180518,124.41,SX7E
20180521,123.43,SX7E
20180522,125.31,SX7E
20180523,123.44,SX7E
20180524,121.78,SX7E
20180525,119.51,SX7E
20180528,117.51,SX7E
20180529,112.31,SX7E
20180530,112.18,SX7E
20180531,110.33,SX7E
20180601,113.43,SX7E
20180604,113.69,SX7E
20180605,111.28,SX7E
20180606,112.45,SX7E
20180607,113.0,SX7E
20180608,111.82,SX7E
20180611,114.99,SX7E
20180612,114.96,SX7E
20180613,114.37,SX7E
20180614,114.13,SX7E
20180615,111.98,SX7E
20180618,111.62,SX7E
20180619,111.94,SX7E
20180620,112.8,SX7E
20180621,111.24,SX7E
20180622,112.6,SX7E
20180625,110.23,SX7E
20180626,109.89,SX7E
20180627,109.41,SX7E
20180628,109.55,SX7E
20180629,110.45,SX7E
20180702,109.7,SX7E
20180703,110.62,SX7E
20180704,111.34,SX7E
20180705,113.0,SX7E
20180706,113.15,SX7E
20180709,113.73,SX7E
20180710,112.57,SX7E
20180711,110.63,SX7E
20180712,110.59,SX7E
20180713,110.62,SX7E
20180716,111.1,SX7E
20180717,110.65,SX7E
20180718,110.77,SX7E
20180719,110.3,SX7E
20180720,110.11,SX7E
20180723,110.8,SX7E
20180724,113.27,SX7E
20180725,112.63,SX7E
20180726,113.72,SX7E
20180727,114.94,SX7E
20180730,115.24,SX7E
20180731,116.73,SX7E
20180801,115.52,SX7E
20180802,113.1,SX7E
20180803,113.6,SX7E
20180806,113.25,SX7E
20180807,114.08,SX7E
20180808,113.57,SX7E
20180809,113.06,SX7E
20180810,109.41,SX7E
20180813,107.46,SX7E
20180814,106.82,SX7E
20180815,105.67,SX7E
20180816,105.94,SX7E
20180817,105.14,SX7E
20180820,105.24,SX7E
20180821,106.77,SX7E
20180822,106.92,SX7E
20180823,106.56,SX7E
20180824,106.61,SX7E
20180827,107.3,SX7E
20180828,106.32,SX7E
20180829,106.7,SX7E
20180830,105.04,SX7E
20180831,104.16,SX7E
20180903,104.44,SX7E
20180904,105.7,SX7E
20180905,106.58,SX7E
20180906,105.56,SX7E
20180907,104.2,SX7E
20180910,105.81,SX7E
20180911,105.5,SX7E
20180912,105.24,SX7E
20180913,106.36,SX7E
20180914,106.89,SX7E
20180917,108.16,SX7E
20180918,108.6,SX7E
20180919,110.42,SX7E
20180920,111.78,SX7E
20180921,112.01,SX7E
20180924,110.9,SX7E
20180925,111.74,SX7E
20180926,111.25,SX7E
20180927,110.9,SX7E
20180928,106.55,SX7E
20181001,105.3,SX7E
20181002,104.66,SX7E
20181003,105.39,SX7E
20181004,106.08,SX7E
20181005,105.04,SX7E
20181008,103.42,SX7E
20181009,104.28,SX7E
20181010,104.28,SX7E
20181011,102.36,SX7E
20181012,101.84,SX7E
20181015,101.92,SX7E
20181016,102.85,SX7E
20181017,102.33,SX7E
20181018,100.08,SX7E
20181019,99.51,SX7E
20181022,98.35,SX7E
20181023,97.1,SX7E
20181024,94.95,SX7E
20181025,96.4,SX7E
20181026,95.43,SX7E
20181029,97.01,SX7E
20181030,96.26,SX7E
20181031,96.89,SX7E
20181101,98.31,SX7E
20181102,99.74,SX7E
20181105,99.37,SX7E
20181106,98.86,SX7E
20181107,100.36,SX7E
20181108,100.45,SX7E
20181109,99.17,SX7E
20181112,97.84,SX7E
20181113,99.23,SX7E
20181114,98.63,SX7E
20181115,97.59,SX7E
20181116,97.0,SX7E
20181119,96.85,SX7E
20181120,94.53,SX7E
20181121,96.03,SX7E
20181122,95.09,SX7E
20181123,95.38,SX7E
20181126,98.16,SX7E
20181127,97.66,SX7E
20181128,97.75,SX7E
20181129,97.53,SX7E
20181130,96.85,SX7E
20181203,98.48,SX7E
20181204,96.2,SX7E
20181205,95.65,SX7E
20181206,91.55,SX7E
20181207,91.58,SX7E
20181210,89.19,SX7E
20181211,89.42,SX7E
20181212,92.09,SX7E
20181213,92.78,SX7E
20181214,92.04,SX7E
20181217,90.31,SX7E
20181218,90.03,SX7E
20181219,90.53,SX7E
20181220,87.43,SX7E
20181221,86.74,SX7E
